angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.3,"[779, 264, 289, 363]",0.0,0.24,0.0,0.27,0.14,0.03
0.31,"[779, 264, 289, 363]",0.0,0.24,0.0,0.27,0.14,0.03
0.3,"[779, 264, 289, 363]",0.0,0.24,0.0,0.27,0.14,0.03
0.42,"[783, 272, 284, 353]",0.0,0.23,0.0,0.2,0.12,0.03
0.41,"[783, 272, 284, 353]",0.0,0.23,0.0,0.2,0.12,0.03
0.46,"[784, 277, 281, 351]",0.0,0.25,0.0,0.14,0.11,0.03
0.46,"[784, 277, 281, 352]",0.0,0.22,0.0,0.16,0.12,0.02
0.46,"[784, 277, 281, 352]",0.0,0.22,0.0,0.16,0.12,0.02
0.22,"[778, 262, 297, 375]",0.0,0.25,0.0,0.29,0.17,0.07
0.25,"[777, 262, 298, 376]",0.0,0.21,0.0,0.31,0.17,0.06
0.3,"[778, 264, 298, 375]",0.0,0.22,0.0,0.2,0.18,0.1
0.3,"[778, 264, 298, 375]",0.0,0.22,0.0,0.2,0.18,0.1
0.3,"[778, 264, 298, 375]",0.0,0.22,0.0,0.2,0.18,0.1
0.25,"[777, 264, 298, 375]",0.0,0.23,0.0,0.26,0.18,0.07
0.25,"[776, 263, 299, 376]",0.0,0.19,0.0,0.31,0.16,0.08
0.2,"[783, 284, 289, 362]",0.0,0.28,0.0,0.31,0.14,0.06
0.17,"[783, 284, 288, 363]",0.0,0.25,0.0,0.37,0.15,0.05
0.17,"[783, 284, 288, 363]",0.0,0.25,0.0,0.37,0.15,0.05
0.16,"[782, 263, 287, 374]",0.0,0.27,0.0,0.34,0.13,0.11
0.16,"[782, 263, 287, 374]",0.0,0.26,0.0,0.34,0.13,0.11
0.17,"[784, 263, 282, 374]",0.0,0.26,0.0,0.3,0.13,0.13
0.17,"[784, 263, 282, 374]",0.0,0.26,0.0,0.31,0.13,0.13
0.17,"[784, 263, 282, 374]",0.0,0.26,0.0,0.31,0.13,0.12
0.18,"[781, 254, 284, 388]",0.0,0.17,0.0,0.39,0.17,0.09
0.19,"[781, 254, 284, 388]",0.0,0.17,0.0,0.39,0.17,0.09
0.21,"[781, 258, 281, 382]",0.0,0.18,0.0,0.37,0.16,0.08
0.21,"[782, 258, 279, 382]",0.0,0.19,0.0,0.36,0.16,0.08
0.21,"[782, 258, 279, 382]",0.0,0.19,0.0,0.36,0.16,0.08
0.26,"[777, 267, 298, 375]",0.0,0.2,0.0,0.36,0.13,0.05
0.27,"[778, 267, 297, 375]",0.0,0.19,0.0,0.37,0.13,0.04
0.36,"[778, 267, 297, 374]",0.0,0.14,0.0,0.34,0.09,0.06
0.35,"[778, 266, 297, 375]",0.0,0.17,0.0,0.32,0.1,0.06
0.35,"[778, 266, 297, 375]",0.0,0.17,0.0,0.32,0.1,0.06
0.3,"[781, 267, 292, 368]",0.0,0.23,0.0,0.24,0.11,0.12
0.36,"[782, 267, 291, 369]",0.0,0.18,0.0,0.26,0.12,0.08
0.38,"[780, 267, 292, 367]",0.0,0.19,0.0,0.17,0.18,0.07
0.39,"[781, 267, 291, 367]",0.0,0.19,0.0,0.17,0.18,0.07
0.39,"[781, 267, 291, 367]",0.0,0.19,0.0,0.17,0.18,0.07
0.42,"[779, 265, 288, 364]",0.0,0.11,0.0,0.23,0.18,0.06
0.42,"[779, 265, 288, 364]",0.0,0.11,0.0,0.23,0.18,0.06
0.29,"[782, 260, 284, 361]",0.0,0.05,0.0,0.33,0.31,0.02
0.29,"[782, 260, 284, 361]",0.0,0.05,0.0,0.33,0.31,0.02
0.29,"[782, 260, 284, 361]",0.0,0.05,0.0,0.33,0.31,0.02
0.37,"[790, 270, 274, 350]",0.0,0.09,0.0,0.27,0.24,0.03
0.37,"[790, 270, 274, 350]",0.0,0.09,0.0,0.27,0.24,0.03
0.53,"[793, 280, 270, 341]",0.0,0.16,0.0,0.14,0.09,0.07
